kmer	num_contigs	n50	max_length
10	7170	11	73
11	3879	15	136
12	2285	23	211
13	1554	31	432
14	1227	41	863
15	1068	47	878
16	962	54	1326
17	898	61	1327
18	835	71	1328
19	789	82	1329
20	739	93	1330
21	682	103	1331
22	645	111	1332
23	637	111	1333
24	619	114	1366
25	592	115	1368
26	568	119	1370
27	525	144	1372
28	504	148	1374
29	483	166	1376
30	455	177	1378
31	424	190	1380
32	411	203	1393
33	393	204	1395
34	377	205	1397
35	368	215	1399
36	355	216	1401
37	357	217	1403
38	345	226	1405
39	338	227	1407
40	330	233	1409
41	325	229	1411
42	316	235	1454
43	307	236	1456
44	302	243	1458
45	295	246	1460
46	286	246	1462
47	278	257	1464
48	273	251	1466
49	272	275	1468
50	266	251	1544
51	262	251	1546
52	253	251	1548
53	248	252	1550
54	247	253	1552
55	251	239	1554
56	255	232	1556
57	251	232	1558
58	249	229	1539
59	256	220	1540
60	255	220	1316
61	254	219	1316
62	255	205	1195
63	259	204	1195
64	264	192	1195
65	270	192	1115
66	270	183	1115
67	279	176	1116
68	282	173	1116
69	294	165	1116
70	302	156	1116
71	301	157	1116
72	318	150	866
73	341	136	826
74	356	131	826
75	375	125	671
76	408	119	669
77	427	116	663
78	449	114	495
79	478	113	366
80	495	111	348
81	533	107	347
82	567	105	347
83	606	103	347
84	635	102	347
85	685	101	347
86	726	100	239
87	763	100	192
88	798	100	168
89	859	100	165
90	886	100	152
91	932	100	144
92	963	100	144
93	979	99	130
94	991	99	127
95	966	99	115
96	928	99	115
97	838	99	107
98	689	99	105
99	514	100	104
