Final graph has 15122 nodes and n50 of 2, max 36, total 28026, using 0/4675 reads
Final graph has 7510 nodes and n50 of 10, max 91, total 35892, using 0/4675 reads
Final graph has 7510 nodes and n50 of 10, max 91, total 35892, using 0/4675 reads
Final graph has 2669 nodes and n50 of 31, max 235, total 33536, using 0/4675 reads
Final graph has 2669 nodes and n50 of 31, max 235, total 33536, using 0/4675 reads
Final graph has 1479 nodes and n50 of 63, max 732, total 32853, using 0/4675 reads
Final graph has 1479 nodes and n50 of 63, max 732, total 32853, using 0/4675 reads
Final graph has 1137 nodes and n50 of 76, max 1112, total 33038, using 0/4675 reads
Final graph has 1137 nodes and n50 of 76, max 1112, total 33038, using 0/4675 reads
Final graph has 1021 nodes and n50 of 84, max 1275, total 33285, using 0/4675 reads
Final graph has 1021 nodes and n50 of 84, max 1275, total 33285, using 0/4675 reads
Final graph has 872 nodes and n50 of 103, max 1275, total 33585, using 0/4675 reads
Final graph has 872 nodes and n50 of 103, max 1275, total 33585, using 0/4675 reads
Final graph has 776 nodes and n50 of 112, max 884, total 33200, using 0/4675 reads
Final graph has 776 nodes and n50 of 112, max 884, total 33200, using 0/4675 reads
Final graph has 645 nodes and n50 of 135, max 1279, total 32269, using 0/4675 reads
Final graph has 645 nodes and n50 of 135, max 1279, total 32269, using 0/4675 reads
Final graph has 521 nodes and n50 of 239, max 1474, total 30901, using 0/4675 reads
Final graph has 521 nodes and n50 of 239, max 1474, total 30901, using 0/4675 reads
Final graph has 456 nodes and n50 of 237, max 1474, total 30084, using 0/4675 reads
Final graph has 456 nodes and n50 of 237, max 1474, total 30084, using 0/4675 reads
Final graph has 347 nodes and n50 of 374, max 1477, total 28421, using 0/4675 reads
