ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	311	2	2	0.000000	22.610932	21.453376	0.000000	0.000000	0	0	0
2	143	1	1	0.000000	21.496503	20.370629	0.000000	0.000000	0	0	0
3	4	1	2	0.000000	22.500000	22.500000	0.000000	0.000000	0	0	0
4	3	3	2	0.000000	45.666667	42.000000	0.000000	0.000000	0	0	0
5	8	1	1	0.000000	22.250000	22.250000	0.000000	0.000000	0	0	0
6	311	2	2	0.000000	15.186495	14.604502	0.000000	0.000000	0	0	0
7	10	1	1	0.000000	24.000000	22.000000	0.000000	0.000000	0	0	0
8	505	2	2	0.000000	15.926733	15.029703	0.000000	0.000000	0	0	0
9	26	1	1	0.000000	12.192308	12.115385	0.000000	0.000000	0	0	0
10	10	1	1	0.000000	22.900000	22.900000	0.000000	0.000000	0	0	0
11	1	2	2	0.000000	34.000000	34.000000	0.000000	0.000000	0	0	0
12	2	2	2	0.000000	62.000000	52.000000	0.000000	0.000000	0	0	0
13	1	2	2	0.000000	61.000000	23.000000	0.000000	0.000000	0	0	0
14	1	2	3	0.000000	85.000000	58.000000	0.000000	0.000000	0	0	0
15	1	1	2	0.000000	91.000000	70.000000	0.000000	0.000000	0	0	0
16	3	2	2	0.000000	99.666667	77.666667	0.000000	0.000000	0	0	0
17	1	1	1	0.000000	79.000000	61.000000	0.000000	0.000000	0	0	0
18	1	2	3	0.000000	90.000000	72.000000	0.000000	0.000000	0	0	0
19	1	1	2	0.000000	108.000000	89.000000	0.000000	0.000000	0	0	0
20	4	1	2	0.000000	109.250000	89.000000	0.000000	0.000000	0	0	0
21	1	1	2	0.000000	117.000000	97.000000	0.000000	0.000000	0	0	0
22	2	2	1	0.000000	41.000000	14.000000	0.000000	0.000000	0	0	0
23	3	1	2	0.000000	41.666667	13.000000	0.000000	0.000000	0	0	0
24	4	1	1	0.000000	33.000000	18.000000	0.000000	0.000000	0	0	0
25	4	1	2	0.000000	33.000000	18.000000	0.000000	0.000000	0	0	0
26	1	1	2	0.000000	37.000000	11.000000	0.000000	0.000000	0	0	0
27	87	1	2	0.000000	13.264368	12.977011	0.000000	0.000000	0	0	0
28	15	2	2	0.000000	27.600000	17.933333	0.000000	0.000000	0	0	0
29	7	1	1	0.000000	28.142857	10.714286	0.000000	0.000000	0	0	0
30	1	2	4	0.000000	163.000000	47.000000	0.000000	0.000000	0	0	0
31	3	3	1	0.000000	164.333333	47.333333	0.000000	0.000000	0	0	0
32	1	1	1	0.000000	112.000000	16.000000	0.000000	0.000000	0	0	0
33	1	2	2	0.000000	123.000000	27.000000	0.000000	0.000000	0	0	0
34	1	3	2	0.000000	137.000000	42.000000	0.000000	0.000000	0	0	0
35	2	2	2	0.000000	108.500000	25.000000	0.000000	0.000000	0	0	0
36	1	3	2	0.000000	146.000000	82.000000	0.000000	0.000000	0	0	0
37	1	1	1	0.000000	107.000000	62.000000	0.000000	0.000000	0	0	0
38	1	2	1	0.000000	81.000000	34.000000	0.000000	0.000000	0	0	0
39	1	2	1	0.000000	66.000000	17.000000	0.000000	0.000000	0	0	0
40	3	1	1	0.000000	76.000000	20.000000	0.000000	0.000000	0	0	0
41	3	2	1	0.000000	100.000000	29.333333	0.000000	0.000000	0	0	0
42	1	2	1	0.000000	81.000000	19.000000	0.000000	0.000000	0	0	0
43	5	2	2	0.000000	76.600000	39.000000	0.000000	0.000000	0	0	0
44	1	1	1	0.000000	76.000000	24.000000	0.000000	0.000000	0	0	0
45	32	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
46	463	1	2	0.000000	14.468683	14.149028	0.000000	0.000000	0	0	0
47	37	1	1	0.000000	17.513514	16.162162	0.000000	0.000000	0	0	0
48	64	1	1	0.000000	20.125000	19.406250	0.000000	0.000000	0	0	0
49	15	1	1	0.000000	9.600000	9.600000	0.000000	0.000000	0	0	0
50	42	1	1	0.000000	10.000000	10.000000	0.000000	0.000000	0	0	0
51	1	1	2	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
52	2	1	1	0.000000	120.000000	35.000000	0.000000	0.000000	0	0	0
53	3	1	1	0.000000	119.666667	13.666667	0.000000	0.000000	0	0	0
54	160	1	2	0.000000	17.812500	17.200000	0.000000	0.000000	0	0	0
55	6	1	1	0.000000	1.666667	1.666667	0.000000	0.000000	0	0	0
56	2	2	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	0	0
57	7	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
58	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
59	10	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
60	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
61	2	2	1	0.000000	1.500000	1.500000	0.000000	0.000000	0	0	0
62	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
63	3	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
64	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
65	1	2	2	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
66	5	1	2	0.000000	3.000000	2.000000	0.000000	0.000000	0	0	0
67	2	1	2	0.000000	7.000000	6.000000	0.000000	0.000000	0	0	0
68	2	1	4	0.000000	159.500000	12.000000	0.000000	0.000000	0	0	0
69	1	1	1	0.000000	168.000000	119.000000	0.000000	0.000000	0	0	0
70	1	3	3	0.000000	173.000000	115.000000	0.000000	0.000000	0	0	0
71	4	1	1	0.000000	7.000000	7.000000	0.000000	0.000000	0	0	0
72	3	2	2	0.000000	7.000000	7.000000	0.000000	0.000000	0	0	0
73	1	1	1	0.000000	6.000000	6.000000	0.000000	0.000000	0	0	0
74	2	3	2	0.000000	209.500000	15.500000	0.000000	0.000000	0	0	0
75	2	4	2	0.000000	167.500000	167.500000	0.000000	0.000000	0	0	0
76	5	1	1	0.000000	21.200000	21.200000	0.000000	0.000000	0	0	0
77	2	1	1	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
78	10	2	2	0.000000	19.400000	19.300000	0.000000	0.000000	0	0	0
79	3	1	1	0.000000	18.000000	16.000000	0.000000	0.000000	0	0	0
80	1	4	3	0.000000	146.000000	17.000000	0.000000	0.000000	0	0	0
81	1	1	1	0.000000	134.000000	14.000000	0.000000	0.000000	0	0	0
82	5	2	1	0.000000	2.400000	2.400000	0.000000	0.000000	0	0	0
83	40	1	1	0.000000	3.750000	3.500000	0.000000	0.000000	0	0	0
84	2	1	1	0.000000	13.500000	13.500000	0.000000	0.000000	0	0	0
85	2	1	2	0.000000	19.500000	15.000000	0.000000	0.000000	0	0	0
86	2	2	3	0.000000	79.000000	35.000000	0.000000	0.000000	0	0	0
87	1	4	2	0.000000	79.000000	36.000000	0.000000	0.000000	0	0	0
88	2	2	1	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
89	1	2	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	0	0
90	4	1	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
91	1	1	3	0.000000	163.000000	35.000000	0.000000	0.000000	0	0	0
92	2	1	1	0.000000	6.000000	6.000000	0.000000	0.000000	0	0	0
93	2	2	2	0.000000	8.000000	8.000000	0.000000	0.000000	0	0	0
94	4	1	1	0.000000	9.500000	9.500000	0.000000	0.000000	0	0	0
95	1	3	1	0.000000	101.000000	65.000000	0.000000	0.000000	0	0	0
96	102	2	2	0.000000	20.990196	20.696078	0.000000	0.000000	0	0	0
97	23	2	1	0.000000	13.608696	13.608696	0.000000	0.000000	0	0	0
98	3	1	1	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
99	1	2	2	0.000000	134.000000	98.000000	0.000000	0.000000	0	0	0
100	1	1	3	0.000000	104.000000	102.000000	0.000000	0.000000	0	0	0
101	1	3	2	0.000000	107.000000	104.000000	0.000000	0.000000	0	0	0
102	1	2	2	0.000000	117.000000	117.000000	0.000000	0.000000	0	0	0
103	2	2	1	0.000000	91.000000	91.000000	0.000000	0.000000	0	0	0
104	2	4	3	0.000000	200.500000	83.500000	0.000000	0.000000	0	0	0
